201000000 48 48
402000000 381 381
603000000 460 460
804000000 461 461
1005000000 460 460
1209000000 461 461
1410000000 460 460
1611000000 468 468
1812000000 460 460
2013000000 460 460
2214000000 468 468
2415000000 453 453
2616000000 440 441
2817000000 -119 119
3018000000 -134 134
3219000000 -134 134
3420000000 -135 134
3621000000 -134 134
3825000000 -136 136
4026000000 -134 135
4227000000 -134 134
4431000000 -136 136
4632000000 -134 134
4833000000 -134 134
5034000000 -134 134
5235000000 31 161
5436000000 423 422
5640000000 460 461
5841000000 467 467
6051000000 475 474
6252000000 467 468
6453000000 460 460
6654000000 461 461
6855000000 460 460
7056000000 461 461
7257000000 460 460
7458000000 461 461
7659000000 347 312
7860000000 134 -134
8061000000 134 -134
8265000000 136 -136
8472000000 137 -136
8673000000 136 -136
8874000000 134 -135
9078000000 136 -136
9279000000 134 -134
9480000000 134 -134
9681000000 134 -134
9885000000 136 -136
10089000000 137 -136
10290000000 -387 -452
10494000000 -467 -467
10695000000 -461 -461
10896000000 -460 -460
11097000000 -461 -461
11298000000 -467 -467
11499000000 -454 -454
11703000000 -460 -460
11907000000 -468 -468
12108000000 -467 -467
12309000000 -461 -461
12516000000 -474 -474
12717000000 -457 -354
12918000000 -197 67
13122000000 -134 134
13323000000 -137 136
13524000000 -134 134
13728000000 -136 136
13932000000 -136 136
14133000000 -134 134
14334000000 -134 135
14535000000 -134 134
14736000000 -134 134
14937000000 -132 132
15138000000 -206 54
15339000000 -465 -455
15543000000 -454 -454
15744000000 -474 -474
15945000000 -461 -461
16146000000 -460 -460
16347000000 -461 -461
16548000000 -460 -460
16749000000 -460 -461
16953000000 -467 -467
17160000000 -474 -474
17361000000 -461 -461
17562000000 -460 -460
17763000000 -242 -413
17964000000 114 -154
18165000000 134 -134
18366000000 134 -134
18567000000 135 -134
18768000000 134 -134
18969000000 134 -134
19170000000 134 -134
19371000000 134 -134
19572000000 134 -134
19773000000 132 -132
19974000000 136 -136
20178000000 107 -107
20382000000 0 0
20586000000 0 0
20787000000 0 0
20988000000 0 0
21189000000 0 0
21390000000 0 0
21591000000 0 0
21792000000 0 0
21996000000 0 0
22197000000 0 0
22398000000 0 0
22608000000 0 0
22809000000 0 0
23010000000 0 0
23214000000 0 0
